borough,date,year,month,crime_count,population,crime_per_1000,claimant_count,claimant_per_1000,population_density,imd_value
Barnet,2020-04-01,2020,4,1645.0,391046,4.206666223411056,10680,27.311364903361753,4577.02267274036,15.953625592417062
Barnet,2020-05-01,2020,5,1988.0,391046,5.083800882760595,17500,44.751768334160175,4577.02267274036,15.953625592417062
Barnet,2020-06-01,2020,6,2068.0,391046,5.288380395145328,17355,44.380967967962846,4577.02267274036,15.953625592417062
Barnet,2020-07-01,2020,7,2338.0,391046,5.978836249443799,17750,45.391079310362464,4577.02267274036,15.953625592417062
Barnet,2020-08-01,2020,8,2370.0,391046,6.060668054397692,18380,47.00214297039223,4577.02267274036,15.953625592417062
Barnet,2020-09-01,2020,9,2293.0,391046,5.863760273727388,18480,47.25786736087315,4577.02267274036,15.953625592417062
Barnet,2020-10-01,2020,10,2432.0,391046,6.219217176495859,18045,46.14546626228117,4577.02267274036,15.953625592417062
Barnet,2020-11-01,2020,11,2401.0,391046,6.139942615446776,18425,47.11721894610864,4577.02267274036,15.953625592417062
Barnet,2020-12-01,2020,12,2151.0,391046,5.500631639244488,18545,47.42408821468574,4577.02267274036,15.953625592417062
Barnet,2021-01-01,2021,1,1847.0,388955,4.7486213058065845,18025,46.34212183928732,4577.02267274036,15.953625592417062
Barnet,2021-02-01,2021,2,1880.0,388955,4.833464025401396,19030,48.92596829967477,4577.02267274036,15.953625592417062
Barnet,2021-03-01,2021,3,2486.0,388955,6.391484876142484,18930,48.66886914938746,4577.02267274036,15.953625592417062
Barnet,2021-04-01,2021,4,2229.0,388955,5.730740059904102,19005,48.86169351210294,4577.02267274036,15.953625592417062
Barnet,2021-05-01,2021,5,2395.0,388955,6.157524649381034,17795,45.75079379362651,4577.02267274036,15.953625592417062
Barnet,2021-06-01,2021,6,2477.0,388955,6.368345952616626,16330,41.98429124191745,4577.02267274036,15.953625592417062
Barnet,2021-07-01,2021,7,2253.0,388955,5.7924438559730556,15915,40.917329768225116,4577.02267274036,15.953625592417062
Barnet,2021-08-01,2021,8,2149.0,388955,5.525060739674255,15255,39.220475376328885,4577.02267274036,15.953625592417062
Barnet,2021-09-01,2021,9,2291.0,388955,5.890141533082233,14455,37.16368217403041,4577.02267274036,15.953625592417062
Barnet,2021-10-01,2021,10,2356.0,388955,6.057255980768984,14035,36.08386574282372,4577.02267274036,15.953625592417062
Barnet,2021-11-01,2021,11,2257.0,388955,5.802727821984549,13505,34.72124024630099,4577.02267274036,15.953625592417062
Barnet,2021-12-01,2021,12,2191.0,388955,5.633042382794924,13125,33.744263475209216,4577.02267274036,15.953625592417062
Barnet,2022-01-01,2022,1,2278.0,390371,5.835474458912163,12690,32.5075377013149,4577.02267274036,15.953625592417062
Barnet,2022-02-01,2022,2,2155.0,390371,5.520389578119276,12495,32.00801289030179,4577.02267274036,15.953625592417062
Barnet,2022-03-01,2022,3,2380.0,390371,6.096764360057484,11965,30.650330070625124,4577.02267274036,15.953625592417062
Barnet,2022-04-01,2022,4,2157.0,390371,5.5255129095142825,11555,29.600047134648836,4577.02267274036,15.953625592417062
Barnet,2022-05-01,2022,5,2474.0,390371,6.33756093562278,11345,29.06209733817317,4577.02267274036,15.953625592417062
Barnet,2022-06-01,2022,6,2230.0,390371,5.712514505432012,11250,28.818739096910374,4577.02267274036,15.953625592417062
Barnet,2022-07-01,2022,7,2260.0,390371,5.789364476357107,10905,27.934964431271787,4577.02267274036,15.953625592417062
Barnet,2022-08-01,2022,8,2301.0,390371,5.894392769954735,10825,27.730031175471538,4577.02267274036,15.953625592417062
Barnet,2022-09-01,2022,9,2272.0,390371,5.8201044647271445,10955,28.063047716146947,4577.02267274036,15.953625592417062
Barnet,2022-10-01,2022,10,2331.0,390371,5.97124274087983,10905,27.934964431271787,4577.02267274036,15.953625592417062
Barnet,2022-11-01,2022,11,2458.0,390371,6.296574284462729,10995,28.165514344047075,4577.02267274036,15.953625592417062
Barnet,2022-12-01,2022,12,2129.0,390371,5.453786269984194,10985,28.139897687072043,4577.02267274036,15.953625592417062
Barnet,2023-01-01,2023,1,2373.0,398191,5.9594516199512295,10695,26.858969690424946,4577.02267274036,15.953625592417062
Barnet,2023-02-01,2023,2,2114.0,398191,5.309009997714664,10765,27.034764723461855,4577.02267274036,15.953625592417062
Barnet,2023-03-01,2023,3,2425.0,398191,6.090042215921505,10845,27.235673332646893,4577.02267274036,15.953625592417062
Barnet,2023-04-01,2023,4,2227.0,398191,5.592793408188533,10945,27.486809094128194,4577.02267274036,15.953625592417062
Barnet,2023-05-01,2023,5,2400.0,398191,6.027258275551181,10585,26.58272035279552,4577.02267274036,15.953625592417062
Barnet,2023-06-01,2023,6,2398.0,398191,6.022235560321554,10790,27.097548663832182,4577.02267274036,15.953625592417062
Barnet,2023-07-01,2023,7,2477.0,398191,6.220632811891781,11000,27.62493376294291,4577.02267274036,15.953625592417062
Barnet,2023-08-01,2023,8,2260.0,398191,5.675668209477362,10805,27.135219028054376,4577.02267274036,15.953625592417062
Barnet,2023-09-01,2023,9,2260.0,398191,5.675668209477362,10895,27.361241213387544,4577.02267274036,15.953625592417062
Barnet,2023-10-01,2023,10,2438.0,398191,6.122689864914074,10785,27.084991875758114,4577.02267274036,15.953625592417062
